timestamp,caller,caller_name,callee,callee_name,duration_s,imei,cell_tower
2025-05-02T17:34:55,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,105,35-220984-110477-6,MP-BHO-088
2025-05-02T22:17:14,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,185,35-220984-110477-6,MP-BHO-088
2025-05-06T01:27:08,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,744,35-220984-110477-6,MP-BHO-088
2025-05-08T17:05:42,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,195,35-220984-110477-6,MP-BHO-014
2025-05-10T03:04:32,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,790,35-220984-110477-6,MP-IND-055
2025-05-14T01:09:28,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,394,35-220984-110477-6,MP-BHO-041
2025-05-14T12:16:32,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,673,35-220984-110477-6,MP-IND-032
2025-05-18T02:55:16,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,764,35-220984-110477-6,MP-BHO-088
2025-05-20T09:58:52,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,104,35-220984-110477-6,MP-IND-055
2025-05-22T14:02:51,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,147,35-220984-110477-6,MP-IND-032
2025-05-29T13:36:43,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,131,35-220984-110477-6,MP-BHO-014
2025-05-30T01:28:01,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,732,35-220984-110477-6,MP-IND-055
2025-05-30T14:29:50,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,242,35-220984-110477-6,MP-BHO-041
2025-05-31T12:10:50,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,340,35-220984-110477-6,MP-IND-055
2025-06-02T00:37:16,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,606,35-220984-110477-6,MP-BHO-014
2025-06-02T04:48:22,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,697,35-220984-110477-6,MP-BHO-088
2025-06-03T12:25:05,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,447,35-220984-110477-6,MP-BHO-041
2025-06-06T06:57:13,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,147,35-220984-110477-6,MP-IND-055
2025-06-09T00:32:38,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,301,35-220984-110477-6,MP-BHO-014
2025-06-13T17:27:14,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,152,35-220984-110477-6,MP-IND-055
2025-06-14T04:10:03,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,290,35-220984-110477-6,MP-IND-032
2025-06-14T08:50:41,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,399,35-220984-110477-6,MP-BHO-014
2025-06-14T19:50:19,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,374,35-220984-110477-6,MP-IND-032
2025-06-15T03:06:59,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,98,35-220984-110477-6,MP-IND-032
2025-06-16T05:04:25,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,843,35-991172-887761-3,MP-BHO-041
2025-06-16T09:21:59,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,646,35-991172-887761-3,MP-BHO-088
2025-06-17T17:59:02,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,131,35-220984-110477-6,MP-BHO-014
2025-06-19T16:19:33,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,170,35-220984-110477-6,MP-BHO-041
2025-06-20T01:20:20,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,532,35-991172-887761-3,MP-IND-055
2025-06-20T14:53:40,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,989,35-991172-887761-3,MP-BHO-088
2025-06-22T00:32:21,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,497,35-220984-110477-6,MP-BHO-088
2025-06-23T09:00:58,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,589,35-991172-887761-3,MP-IND-055
2025-06-23T16:47:13,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,935,35-991172-887761-3,MP-BHO-041
2025-06-27T02:45:45,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,609,35-991172-887761-3,MP-IND-055
2025-06-27T04:23:29,+91 74150 88761,Rahul Sharma,+91 99931 40233,Amit Khan,528,35-991172-887761-3,MP-IND-055
2025-06-27T15:25:26,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,315,35-220984-110477-6,MP-BHO-041
2025-06-28T06:04:16,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,622,35-220984-110477-6,MP-BHO-014
2025-06-29T00:30:06,+91 98931 22771,Sanjay Gupta,+91 99887 77665,Neha Gupta,762,35-220984-110477-6,MP-BHO-088
2025-06-29T17:30:06,+91 98931 22771,Sanjay Gupta,+91 99887 66554,Vikram Gupta,337,35-220984-110477-6,MP-BHO-041
