timestamp,sender_account,sender_name,receiver_account,receiver_name,amount,channel,upi_ref
2025-07-21T09:56:33,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,320417,IMPS,IMPS/REF972123
2025-08-02T00:52:35,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,306399,IMPS,IMPS/REF490618
2025-08-10T02:36:03,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,213847,UPI,442479796852
2025-08-11T19:36:28,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,337033,IMPS,IMPS/REF405717
2025-08-13T15:07:52,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,248674,IMPS,IMPS/REF813658
2025-09-03T10:16:21,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,75276,IMPS,IMPS/REF562619
2025-09-07T07:21:48,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,307399,IMPS,IMPS/REF279168
2025-09-11T12:40:30,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,110978,IMPS,IMPS/REF434473
2025-09-13T08:51:10,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,276155,IMPS,IMPS/REF211216
2025-09-14T18:34:04,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,187304,UPI,467942458165
2025-09-15T13:07:48,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,189993,NEFT,NEFT/REF995507
2025-09-20T10:48:17,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,270881,IMPS,IMPS/REF149724
2025-09-24T16:51:15,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,203371,UPI,421031685900
2025-09-26T05:32:37,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,251237,IMPS,IMPS/REF979907
2025-09-26T14:12:29,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,275128,IMPS,IMPS/REF561380
2025-09-28T10:48:51,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,70163,IMPS,IMPS/REF392312
2025-10-01T05:45:11,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,270947,UPI,416348386623
2025-10-09T13:36:29,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,313465,IMPS,IMPS/REF402820
2025-10-16T18:27:29,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,84733,IMPS,IMPS/REF754244
2025-10-16T21:12:20,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,148567,NEFT,NEFT/REF127409
2025-10-21T09:38:49,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,259060,NEFT,NEFT/REF866174
2025-10-26T18:49:50,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,248122,NEFT,NEFT/REF670863
2025-11-10T02:31:42,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,97881,IMPS,IMPS/REF360833
2025-11-10T21:42:08,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,190599,NEFT,NEFT/REF183668
2025-11-11T05:59:40,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,73365,UPI,423388610268
